date,exchange_rate
2020-04-14,6857.66
2020-04-17,7112.27
2020-04-20,7130.04
2020-10-23,12990.25
2020-10-25,13036.77
2020-10-28,13289
2021-01-02,32195.46
2021-01-05,34046.67
2021-01-08,40670.25
2021-01-11,35544.94
2021-01-14,39158.47
2021-09-09,46078.38
2022-03-19,42222.32
2022-03-22,42372.67
2022-03-25,44334.33
2022-03-29,47115.93
